figure,panel,series,seed,x,value,detail
2,E,fixed_decoder,1114,0.25,0.4691349267959595,fraction coordinates permuted
2,E,fixed_decoder,1114,0.5,0.2915111184120178,fraction coordinates permuted
2,E,fixed_decoder,1114,0.75,0.11409493535757065,fraction coordinates permuted
2,E,fixed_decoder,1114,1.0,0.06674081087112427,fraction coordinates permuted
2,E,matched_decoder,1114,1.0,0.5998882055282593,full permutation rescue
2,E,fixed_decoder,1115,0.0,0.6038671135902405,fraction coordinates permuted
2,E,fixed_decoder,1115,0.1,0.564825177192688,fraction coordinates permuted
2,E,fixed_decoder,1115,0.25,0.4607609212398529,fraction coordinates permuted
2,E,fixed_decoder,1115,0.5,0.1800374984741211,fraction coordinates permuted
2,E,fixed_decoder,1115,0.75,0.101750947535038,fraction coordinates permuted
2,E,fixed_decoder,1115,1.0,-0.015599161386489868,fraction coordinates permuted
2,E,matched_decoder,1115,1.0,0.6038671731948853,full permutation rescue
2,E,fixed_decoder,1116,0.0,0.5952484011650085,fraction coordinates permuted
2,E,fixed_decoder,1116,0.1,0.5729876160621643,fraction coordinates permuted
2,E,fixed_decoder,1116,0.25,0.41087615489959717,fraction coordinates permuted
2,E,fixed_decoder,1116,0.5,0.25059962272644043,fraction coordinates permuted
2,E,fixed_decoder,1116,0.75,0.07174742221832275,fraction coordinates permuted
2,E,fixed_decoder,1116,1.0,0.01798434928059578,fraction coordinates permuted
2,E,matched_decoder,1116,1.0,0.5952484011650085,full permutation rescue
2,E,fixed_decoder,1117,0.0,0.5915628671646118,fraction coordinates permuted
2,E,fixed_decoder,1117,0.1,0.5589747428894043,fraction coordinates permuted
2,E,fixed_decoder,1117,0.25,0.3777361512184143,fraction coordinates permuted
2,E,fixed_decoder,1117,0.5,0.2962443232536316,fraction coordinates permuted
2,E,fixed_decoder,1117,0.75,0.16595543920993805,fraction coordinates permuted
2,E,fixed_decoder,1117,1.0,-0.03060106374323368,fraction coordinates permuted
2,E,matched_decoder,1117,1.0,0.5915628671646118,full permutation rescue
2,E,fixed_decoder,1118,0.0,0.6483554840087891,fraction coordinates permuted
2,E,fixed_decoder,1118,0.1,0.5768048763275146,fraction coordinates permuted
2,E,fixed_decoder,1118,0.25,0.4318794310092926,fraction coordinates permuted
2,E,fixed_decoder,1118,0.5,0.30491024255752563,fraction coordinates permuted
2,E,fixed_decoder,1118,0.75,0.07488555461168289,fraction coordinates permuted
2,E,fixed_decoder,1118,1.0,0.05991525948047638,fraction coordinates permuted
2,E,matched_decoder,1118,1.0,0.6483554840087891,full permutation rescue
2,E,fixed_decoder,1119,0.0,0.6215204000473022,fraction coordinates permuted
2,E,fixed_decoder,1119,0.1,0.5725417733192444,fraction coordinates permuted
2,E,fixed_decoder,1119,0.25,0.43692561984062195,fraction coordinates permuted
2,E,fixed_decoder,1119,0.5,0.23212586343288422,fraction coordinates permuted
2,E,fixed_decoder,1119,0.75,0.054610949009656906,fraction coordinates permuted
2,E,fixed_decoder,1119,1.0,-0.012877552770078182,fraction coordinates permuted
2,E,matched_decoder,1119,1.0,0.6215204000473022,full permutation rescue
